商品名,奇抜-ベタ,リッチ-庶民,くどい-さわやか,おしゃれ-ださい,大人-子ども,和-洋,男-女,春夏-秋冬
コーヒーヌガー,5,6,5,6,3,1,3,5
アーモンド,2,3,3,4,2,5,3,5
ストロベリー,3,3,3,2,2,3,5,5
ビス,4,2,4,3,1,2,4,4
きなこもち,5,3,4,3,5,6,3,1
冬ちょこ,3,5,3,5,4,2,3,1
いちごびす,3,4,5,2,1,2,2,4
エッグタルト,4,5,6,5,4,3,2,2
パイン,3,4,2,4,2,3,2,5
バナナ,2,5,5,4,2,3,4,4
すいーとぽてと,5,6,6,5,4,3,5,2
抹茶,2,4,4,5,5,6,2,3
カプチーノ,4,5,3,5,6,2,3,2
黒ごまたると,5,5,6,5,6,5,2,3
いちごプリン,2,3,5,3,2,2,1,4
みるく大福,5,4,6,4,5,5,2,1
ミントチョコ,3,4,2,5,5,2,2,5
YOGURT,4,5,2,3,2,2,3,2
RICE,5,2,3,2,3,5,4,3
ナッツクランチ,3,4,3,5,5,2,3,3
キャラメル,2,5,6,4,3,2,3,2
ライチ,5,5,2,4,5,2,2,5
ゆず,5,3,2,5,6,5,2,2
ミックスベリー,3,5,2,5,5,2,3,5
杏仁豆腐,5,4,5,5,4,4,2,4
パンプキンタルト,4,5,6,6,5,3,4,3
塩バニラアソート,6,3,3,3,5,5,6,3
チーズチョコ,4,5,3,3,5,2,3,2
コーン,3,2,3,3,2,2,5,3
MILK,2,5,3,3,4,2,2,1
ふわふわココア,3,5,6,2,4,3,3,1
コーヒーフロート,3,4,3,5,3,2,2,5
WINE,5,6,2,4,6,2,2,4
みつりんご,3,2,5,3,2,4,3,5
レモンケーキ,5,4,3,2,4,2,2,4
FLAKE,2,3,2,3,2,2,5,3
ピーナッツ,2,4,3,4,3,2,4,2
クレメダンジュ,5,5,5,6,5,2,2,1
シナモンオレ,3,5,6,5,4,2,3,3
エスプレッソ,3,5,3,5,6,1,5,3
