メニュー,こってり,遅さ,安さ,少なさ,馴染み
枝豆,1.68,1.448,4.142,2.808,4.84
ナスの漬物,1.429,1.662,4.013,3.481,4.117
きゅうり漬け,1.348,1.478,4.043,3.551,4.246
漬物盛合せ,1.425,1.63,3.534,3.26,4.26
キムチ,2.705,1.769,3.795,3.41,4.154
冷奴,1.195,1.468,3.935,3.662,4.61
えびせん,3.319,1.971,3.826,2.754,3.507
揚げパスタ,3.726,2.945,3,2.781,2.466
もずく酢,1.295,1.872,3.641,3.705,2.91
鶏の唐揚,4.221,3.584,2.818,2.714,4.675
なんこつ(揚物),4.232,3.043,3.304,3.145,4.087
チーズフライ,4.466,3.301,2.89,3.315,3.11
フライドポテト,4.308,2.641,3.603,2.192,4.628
焼き鳥,3.727,3.39,3.299,3.805,3.675
砂肝,3.29,3.391,3.058,3.754,3.362
ねぎま,3.671,3.233,3.082,3.726,4.479
つくね,3.615,3.397,2.91,3.692,3.872
アジの開き,3.078,3.948,2.779,2.623,3.935
たこぶつ刺身,1.71,2.449,2.855,3.565,2.957
マグロの刺身,1.877,2.397,2.027,3.726,4.219
イカの刺身,1.423,2.564,2.654,3.462,3.269
サーモン刺身,2.455,2.39,2.052,3.818,2.935
ほっけ焼き,2.971,3.507,2.681,2.507,3.826
一口ステーキ,4.342,3.849,1.973,3.438,3.274
ししゃも,2.936,3.346,3.115,3.449,3.128
チャーハン,3.623,3.312,2.961,2.364,4.117
焼きそば,4.304,3.159,3.348,2.101,4.362
焼きうどん,3.753,3.384,3.082,2.151,4.055
ピザ,4.744,3.859,2.385,2.295,3.897
お好み焼き,4.468,3.948,2.805,2.442,3.753
パスタ,3.551,3.681,2.333,2.609,3.42
お茶漬け,1.356,1.932,3.452,3.123,4.411
おにぎり,2.205,2.359,3.628,2.962,4.346
